fecha,dia_semana,semana,titulo_interno,tipo_contenido,hook,angulo_emocional,etapa_funnel,plataforma,formato,duracion_segundos,estado,palabras_clave,cta,fecha_publicacion,fecha_creacion,id_airtable,notas
2026-05-29,Viernes,S2,3 frases que destruyen la comunicación con tu AACC,MOFU,Deja de decir estas 3 frases si quieres que tu hijo te escuche,Urgencia / corrección,MOFU,TikTok,Reel,44,SCRIPT,comunicación AACC frases errores padres adolescente,Prueba NOA y aprende qué decir en su lugar,2026-05-29,2026-05-14,REC-012,Formato lista. Texto grande en pantalla por frase. Sonido de alerta suave en cada frase.
2026-05-30,Sabado,S2,Historia de éxito - familia González,BOFU,Esta madre pasó de discutir cada noche a tener cenas en paz en 3 semanas,Esperanza / prueba social,BOFU,Instagram,Carrusel,0,IDEA,testimonio éxito NOA familia AACC resultado,Empieza tu historia con NOA hoy,2026-05-30,2026-05-14,REC-013,Pendiente conseguir testimonio real o crear personaje representativo ficticio con nombre cambiado.
2026-05-31,Domingo,S2,Reutilización - mejor engagement semana 2,RECICLADO,Reel o Story con mayor retención de la semana S2,Según pieza original,MOFU,TikTok,Story,15,RECYCLED,,,2026-05-31,2026-05-14,REC-014,Reutilizar el vídeo de mayor retención de la semana S2.
2026-06-01,Lunes,S3,El adolescente AACC que nunca tiene suficiente,TOFU,¿Por qué mi hijo siempre quiere más y nunca está satisfecho?,Perplejidad / agotamiento,TOFU,Instagram,Reel,33,IDEA,AACC adolescente insatisfacción intensidad emocional búsqueda de estímulo,Guarda este vídeo,2026-06-01,2026-05-21,REC-015,Explorar ángulo de la intensidad emocional como característica neurológica del AACC.
2026-06-02,Martes,S3,Las noches de los padres de AACC,TOFU,Son las 11 de la noche y sigues dando vueltas a lo que pasó esta tarde,Soledad / insomnio parental,TOFU,TikTok,Reel,40,SCRIPT,insomnio preocupación parental AACC noche ansiedad rumiación,Comenta NOCHE si esto te pasa,2026-06-02,2026-05-21,REC-016,Vídeo oscuro con luz de móvil. Muy íntimo. Sin música fuerte. Voz en susurro.
2026-06-03,Miércoles,S3,Cómo NOA te ayuda en las crisis,BOFU,Cuando tu hijo explota tienes 60 segundos para reaccionar bien. NOA te entrena para eso.,Urgencia / solución,BOFU,YouTube Shorts,Reel,55,SCRIPT,NOA crisis AACC respuesta emocional padres herramienta protocolo,Descarga NOA antes de la próxima crisis,2026-06-03,2026-05-21,REC-017,Mostrar pantalla de la app con módulo de crisis. Demo real. CTA muy directo.
2026-06-04,Jueves,S3,Hipersensibilidad - no es drama es neurología,MOFU,Tu hijo no exagera. Su sistema nervioso procesa el dolor de otra manera.,Validación / alivio,MOFU,Instagram,Reel,35,VOICE,hipersensibilidad neurología AACC emociones sistema nervioso sobreexcitabilidad,Sigue para aprender cómo funciona su cerebro,2026-06-04,2026-05-21,REC-018,Locución grabada. Falta edición. Añadir infografía simple del sistema nervioso central.
2026-06-05,Viernes,S3,El momento en que te conviertes en el enemigo,TOFU,Hubo un momento exacto en que pasé de ser su apoyo a ser su problema,Dolor / pérdida de conexión,TOFU,TikTok,Reel,48,VIDEO,conflicto padre hijo AACC adolescente distancia emocional ruptura vínculo,Comenta el momento en que lo notaste,2026-06-05,2026-05-21,REC-019,Vídeo montado. Pendiente revisión final y aprobación de contenido.
2026-06-06,Sabado,S3,Quiz - ¿Cuánto conoces la mente de tu hijo AACC?,MOFU,Responde estas 5 preguntas y descubre cuánto entiendes la mente de tu hijo,Curiosidad / autoevaluación,MOFU,Instagram,Carrusel,0,APPROVED,quiz AACC conocimiento padres autodiagnóstico adolescente mente,Descarga NOA para tu plan personalizado,2026-06-06,2026-05-21,REC-020,Carrusel de 7 slides estilo quiz interactivo. Aprobado y programado en Later.
2026-06-07,Domingo,S3,Reutilización - mejor carrusel del mes,RECICLADO,Carrusel más guardado del mes de mayo,Según pieza original,MOFU,Instagram,Story,15,RECYCLED,,,2026-06-07,2026-05-21,REC-021,Reutilizar el carrusel más guardado del mes anterior con sticker de swipe up.
2026-06-08,Lunes,S4,El miedo a equivocarse que paraliza a tu hijo,MOFU,Tu hijo AACC puede ser el más brillante y el más bloqueado por el miedo al error,Miedo / presión interna,MOFU,Instagram,Reel,30,SCRIPT,perfeccionismo AACC miedo error bloqueo adolescente parálisis,Guarda este vídeo si reconoces este patrón,2026-06-08,2026-05-28,REC-022,Conectar explícitamente con el módulo de perfeccionismo de NOA en el CTA final.
2026-06-09,Martes,S4,Por qué los padres de AACC también necesitan apoyo,BOFU,No solo tu hijo necesita apoyo. Tú también.,Vulnerabilidad / autocuidado parental,BOFU,TikTok,Reel,42,SCRIPT,apoyo parental AACC autocuidado salud mental padres bienestar,NOA tiene un espacio solo para ti. Descárgala.,2026-06-09,2026-05-28,REC-023,Ángulo diferenciador clave: NOA es para el padre no solo para el hijo. Mensaje central de la semana.
2026-06-10,Miércoles,S4,La semana que todo cambió con NOA - caso real,BOFU,Le daba exactamente lo que me pedía NOA aunque no entendía por qué. Y funcionó.,Esperanza / curiosidad,BOFU,YouTube Shorts,Reel,58,IDEA,NOA resultado caso real AACC padres semana cambio transformación,Prueba NOA 7 días gratis - link en bio,2026-06-10,2026-05-28,REC-024,Buscar padre o madre dispuesta a grabar su testimonio esta semana. Alternativa: recreación con actores.
2026-06-11,Jueves,S4,Cuando tu hijo te dice que no te entiende,TOFU,Mi hijo de 14 años me dijo que hablaba con la pared. Tenía razón.,Humildad / dolor honesto,TOFU,Instagram,Reel,28,VOICE,comunicación AACC adolescente incomprensión brecha generacional escucha,Etiqueta a alguien que lo está viviendo,2026-06-11,2026-05-28,REC-025,Locución grabada. Tono muy humano y honesto. Sin ofrecer soluciones en este vídeo. Solo validación.
2026-06-12,Viernes,S4,5 señales de agotamiento parental severo,MOFU,Si llevas más de 3 meses con este nivel de estrés tu cuerpo está enviando señales,Alarma / autocuidado urgente,MOFU,TikTok,Reel,50,SUBS,agotamiento burnout parental AACC señales síntomas cuidado propio,NOA tiene un plan específico para padres en burnout,2026-06-12,2026-05-28,REC-026,Subtítulos en revisión. Formato lista con urgencia. Música seria pero no dramática. Fondo cálido.
2026-06-13,Sabado,S4,Un mes de AACC - esto es lo más importante,BOFU,Un mes de contenido sobre altas capacidades. Esto es lo que debes recordar.,Gratitud / cierre emocional,BOFU,Instagram,Carrusel,0,APPROVED,AACC resumen aprendizaje padres NOA mes cierre comunidad,Empieza el próximo mes con NOA a tu lado,2026-06-13,2026-05-28,REC-027,Carrusel resumen del mes. Incluir los 5 aprendizajes clave. CTA fuerte en último slide con descarga de app.
